model,model_tag,setting,project,approach,k_label,k,used_v2,total_issues,invalid_count,invalid_rate,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_bug,precision_bug,recall_bug,support_bug,f1_feature,precision_feature,recall_feature,support_feature,f1_question,precision_question,recall_question,support_question,source_path,top_k
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k9,9.0,True,300.0,12.0,0.04,0.74,0.7173,0.8054,0.74,0.7173,0.8054,0.74,0.8282,0.7402,0.94,100.0,0.8496,0.7619,0.96,100.0,0.4741,0.9143,0.32,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k1,1.0,True,300.0,2.0,0.0067,0.6933,0.6441,0.7787,0.6933,0.6441,0.7787,0.6933,0.8333,0.7759,0.9,100.0,0.7413,0.6038,0.96,100.0,0.3577,0.9565,0.22,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k3,3.0,True,300.0,6.0,0.02,0.7033,0.6566,0.7907,0.7033,0.6566,0.7907,0.7033,0.8532,0.7881,0.93,100.0,0.7589,0.6275,0.96,100.0,0.3577,0.9565,0.22,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k6,6.0,True,300.0,7.0,0.0233,0.74,0.7093,0.8038,0.74,0.7093,0.8038,0.74,0.8482,0.7661,0.95,100.0,0.8136,0.7059,0.96,100.0,0.4662,0.9394,0.31,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k9,9.0,True,300.0,9.0,0.03,0.7567,0.7345,0.8078,0.7567,0.7345,0.8078,0.7567,0.8739,0.7951,0.97,100.0,0.8261,0.7308,0.95,100.0,0.5036,0.8974,0.35,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,zero_shot,0.0,True,300.0,4.0,0.0133,0.6567,0.5907,0.7762,0.6567,0.5907,0.7762,0.6567,0.8,0.7478,0.86,100.0,0.7266,0.5808,0.97,100.0,0.2456,1.0,0.14,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_zero_shot.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ft,finetune_fixed,,False,300.0,3.0,0.01,0.7633,0.7662,0.7765,0.7633,0.7662,0.7765,0.7633,0.7725,0.8202,0.73,100.0,0.7854,0.7227,0.86,100.0,0.7407,0.7865,0.7,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k1,1.0,False,300.0,5.0,0.0167,0.6933,0.6598,0.7486,0.6933,0.6598,0.7486,0.6933,0.7768,0.7016,0.87,100.0,0.7782,0.6691,0.93,100.0,0.4242,0.875,0.28,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k3,3.0,False,300.0,6.0,0.02,0.7033,0.6717,0.7652,0.7033,0.6717,0.7652,0.7033,0.786,0.6977,0.9,100.0,0.7897,0.6917,0.92,100.0,0.4394,0.9062,0.29,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k6,6.0,False,300.0,10.0,0.0333,0.6833,0.6447,0.7452,0.6833,0.6447,0.7452,0.6833,0.7719,0.6875,0.88,100.0,0.8,0.6963,0.94,100.0,0.3622,0.8519,0.23,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k9,9.0,False,300.0,10.0,0.0333,0.68,0.6365,0.7616,0.68,0.6365,0.7616,0.68,0.7627,0.6618,0.9,100.0,0.8052,0.7099,0.93,100.0,0.3415,0.913,0.21,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k1,1.0,False,300.0,5.0,0.0167,0.7267,0.7065,0.7658,0.7267,0.7065,0.7658,0.7267,0.7895,0.7031,0.9,100.0,0.8125,0.7339,0.91,100.0,0.5175,0.8605,0.37,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k3,3.0,False,300.0,7.0,0.0233,0.7233,0.706,0.7722,0.7233,0.706,0.7722,0.7233,0.8054,0.7355,0.89,100.0,0.7913,0.7,0.91,100.0,0.5211,0.881,0.37,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k6,6.0,False,300.0,8.0,0.0267,0.7167,0.6957,0.7798,0.7167,0.6957,0.7798,0.7167,0.7873,0.719,0.87,100.0,0.8034,0.7015,0.94,100.0,0.4964,0.9189,0.34,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k9,9.0,False,300.0,6.0,0.02,0.7233,0.7046,0.765,0.7233,0.7046,0.765,0.7233,0.7928,0.7213,0.88,100.0,0.8035,0.7132,0.92,100.0,0.5175,0.8605,0.37,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ft,finetune_fixed,,False,300.0,14.0,0.0467,0.6833,0.6871,0.7191,0.6833,0.6871,0.7191,0.6833,0.6981,0.6607,0.74,100.0,0.8131,0.7632,0.87,100.0,0.55,0.7333,0.44,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k1,1.0,False,300.0,2.0,0.0067,0.6933,0.6652,0.7676,0.6933,0.6652,0.7676,0.6933,0.7602,0.6942,0.84,100.0,0.7541,0.6389,0.92,100.0,0.4812,0.9697,0.32,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k3,3.0,False,300.0,0.0,0.0,0.7233,0.6916,0.7874,0.7233,0.6916,0.7874,0.7233,0.8198,0.7459,0.91,100.0,0.7623,0.6458,0.93,100.0,0.4925,0.9706,0.33,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k6,6.0,False,300.0,4.0,0.0133,0.7167,0.688,0.7821,0.7167,0.688,0.7821,0.7167,0.8128,0.7479,0.89,100.0,0.7737,0.6573,0.94,100.0,0.4776,0.9412,0.32,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k9,9.0,False,300.0,6.0,0.02,0.7133,0.687,0.7815,0.7133,0.687,0.7815,0.7133,0.8018,0.7295,0.89,100.0,0.7815,0.6739,0.93,100.0,0.4776,0.9412,0.32,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k1,1.0,False,300.0,2.0,0.0067,0.6667,0.6339,0.7515,0.6667,0.6339,0.7515,0.6667,0.7373,0.6838,0.8,100.0,0.7302,0.6053,0.92,100.0,0.4341,0.9655,0.28,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k3,3.0,False,300.0,0.0,0.0,0.6967,0.6661,0.768,0.6967,0.6661,0.768,0.6967,0.7671,0.7059,0.84,100.0,0.75,0.6284,0.93,100.0,0.4812,0.9697,0.32,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k6,6.0,False,300.0,2.0,0.0067,0.72,0.6904,0.7801,0.72,0.6904,0.7801,0.72,0.8054,0.7355,0.89,100.0,0.7769,0.662,0.94,100.0,0.4889,0.9429,0.33,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k9,9.0,False,300.0,2.0,0.0067,0.74,0.7153,0.794,0.74,0.7153,0.794,0.74,0.8235,0.7521,0.91,100.0,0.7899,0.6812,0.94,100.0,0.5324,0.9487,0.37,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
,,project_specific,ansible_ansible,vtag,k1,1.0,False,300.0,0.0,0.0,0.6067,0.591,0.6227,0.6067,0.591,0.6227,0.6067,0.658,0.5802,0.76,100.0,0.6514,0.6017,0.71,100.0,0.4636,0.6863,0.35,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k1.csv,1.0
,,project_specific,ansible_ansible,vtag,k10,10.0,False,300.0,0.0,0.0,0.5733,0.5322,0.5747,0.5733,0.5322,0.5747,0.5733,0.6473,0.5532,0.78,100.0,0.6637,0.5952,0.75,100.0,0.2857,0.5758,0.19,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k10.csv,10.0
,,project_specific,ansible_ansible,vtag,k11,11.0,False,300.0,0.0,0.0,0.5867,0.5503,0.6025,0.5867,0.5503,0.6025,0.5867,0.65,0.5571,0.78,100.0,0.6726,0.6032,0.76,100.0,0.3284,0.6471,0.22,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k11.csv,11.0
,,project_specific,ansible_ansible,vtag,k12,12.0,False,300.0,0.0,0.0,0.5867,0.5428,0.599,0.5867,0.5428,0.599,0.5867,0.6667,0.5714,0.8,100.0,0.6696,0.5923,0.77,100.0,0.2923,0.6333,0.19,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k12.csv,12.0
,,project_specific,ansible_ansible,vtag,k13,13.0,False,300.0,0.0,0.0,0.5867,0.5405,0.6026,0.5867,0.5405,0.6026,0.5867,0.6502,0.5524,0.79,100.0,0.69,0.6124,0.79,100.0,0.2812,0.6429,0.18,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k13.csv,13.0
,,project_specific,ansible_ansible,vtag,k14,14.0,False,300.0,0.0,0.0,0.5733,0.5288,0.5989,0.5733,0.5288,0.5989,0.5733,0.6364,0.5423,0.77,100.0,0.6667,0.5878,0.77,100.0,0.2835,0.6667,0.18,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k14.csv,14.0
,,project_specific,ansible_ansible,vtag,k15,15.0,False,300.0,0.0,0.0,0.5867,0.5451,0.6075,0.5867,0.5451,0.6075,0.5867,0.6582,0.5693,0.78,100.0,0.6695,0.5865,0.78,100.0,0.3077,0.6667,0.2,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k15.csv,15.0
,,project_specific,ansible_ansible,vtag,k16,16.0,False,300.0,0.0,0.0,0.5867,0.5399,0.6082,0.5867,0.5399,0.6082,0.5867,0.6555,0.5652,0.78,100.0,0.6809,0.5926,0.8,100.0,0.2835,0.6667,0.18,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k16.csv,16.0
,,project_specific,ansible_ansible,vtag,k17,17.0,False,300.0,0.0,0.0,0.5667,0.5179,0.58,0.5667,0.5179,0.58,0.5667,0.636,0.5468,0.76,100.0,0.6638,0.5778,0.78,100.0,0.254,0.6154,0.16,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k17.csv,17.0
,,project_specific,ansible_ansible,vtag,k18,18.0,False,300.0,0.0,0.0,0.59,0.5451,0.6134,0.59,0.5451,0.6134,0.59,0.658,0.5802,0.76,100.0,0.6805,0.5816,0.82,100.0,0.2969,0.6786,0.19,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k18.csv,18.0
,,project_specific,ansible_ansible,vtag,k19,19.0,False,300.0,0.0,0.0,0.5667,0.515,0.5757,0.5667,0.515,0.5757,0.5667,0.641,0.5597,0.75,100.0,0.6639,0.5674,0.8,100.0,0.24,0.6,0.15,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k19.csv,19.0
,,project_specific,ansible_ansible,vtag,k2,2.0,False,300.0,0.0,0.0,0.6067,0.591,0.6227,0.6067,0.591,0.6227,0.6067,0.658,0.5802,0.76,100.0,0.6514,0.6017,0.71,100.0,0.4636,0.6863,0.35,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k2.csv,2.0
,,project_specific,ansible_ansible,vtag,k20,20.0,False,300.0,0.0,0.0,0.59,0.5455,0.6071,0.59,0.5455,0.6071,0.59,0.6638,0.5778,0.78,100.0,0.678,0.5882,0.8,100.0,0.2946,0.6552,0.19,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k20.csv,20.0
,,project_specific,ansible_ansible,vtag,k25,25.0,False,300.0,0.0,0.0,0.56,0.5146,0.5934,0.56,0.5146,0.5934,0.56,0.6376,0.5659,0.73,100.0,0.6341,0.5342,0.78,100.0,0.272,0.68,0.17,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k25.csv,25.0
,,project_specific,ansible_ansible,vtag,k3,3.0,False,300.0,0.0,0.0,0.6067,0.5926,0.6249,0.6067,0.5926,0.6249,0.6067,0.6468,0.563,0.76,100.0,0.6573,0.6195,0.7,100.0,0.4737,0.6923,0.36,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k3.csv,3.0
,,project_specific,ansible_ansible,vtag,k30,30.0,False,300.0,0.0,0.0,0.5667,0.5227,0.6032,0.5667,0.5227,0.6032,0.5667,0.6393,0.5882,0.7,100.0,0.6431,0.529,0.82,100.0,0.2857,0.6923,0.18,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k30.csv,30.0
,,project_specific,ansible_ansible,vtag,k4,4.0,False,300.0,0.0,0.0,0.6067,0.5837,0.6409,0.6067,0.5837,0.6409,0.6067,0.6527,0.5612,0.78,100.0,0.6697,0.6116,0.74,100.0,0.4286,0.75,0.3,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k4.csv,4.0
,,project_specific,ansible_ansible,vtag,k5,5.0,False,300.0,0.0,0.0,0.61,0.5882,0.644,0.61,0.5882,0.644,0.61,0.6582,0.5693,0.78,100.0,0.6667,0.6066,0.74,100.0,0.4397,0.7561,0.31,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k5.csv,5.0
,,project_specific,ansible_ansible,vtag,k6,6.0,False,300.0,0.0,0.0,0.6,0.574,0.6278,0.6,0.574,0.6278,0.6,0.6496,0.5672,0.76,100.0,0.6696,0.5984,0.76,100.0,0.4029,0.7179,0.28,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k6.csv,6.0
,,project_specific,ansible_ansible,vtag,k7,7.0,False,300.0,0.0,0.0,0.5967,0.5693,0.6342,0.5967,0.5693,0.6342,0.5967,0.6441,0.5588,0.76,100.0,0.6667,0.5938,0.76,100.0,0.3971,0.75,0.27,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k7.csv,7.0
,,project_specific,ansible_ansible,vtag,k8,8.0,False,300.0,0.0,0.0,0.59,0.5597,0.6164,0.59,0.5597,0.6164,0.59,0.6417,0.55,0.77,100.0,0.6696,0.6048,0.75,100.0,0.3676,0.6944,0.25,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k8.csv,8.0
,,project_specific,ansible_ansible,vtag,k9,9.0,False,300.0,0.0,0.0,0.5767,0.5346,0.5862,0.5767,0.5346,0.5862,0.5767,0.6471,0.558,0.77,100.0,0.6667,0.5878,0.77,100.0,0.2901,0.6129,0.19,100.0,results/issues11k/project_specific/ansible_ansible/vtag/evaluations/eval_k9.csv,9.0
,,project_specific,ansible_ansible,vtag_debias,k1,1.0,False,300.0,0.0,0.0,0.6067,0.591,0.6227,0.6067,0.591,0.6227,0.6067,0.658,0.5802,0.76,100.0,0.6514,0.6017,0.71,100.0,0.4636,0.6863,0.35,100.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/evaluations/eval_k1.csv,1.0
,,project_specific,ansible_ansible,vtag_debias,k3,3.0,False,300.0,0.0,0.0,0.54,0.5254,0.5729,0.54,0.5254,0.5729,0.54,0.4737,0.6923,0.36,100.0,0.616,0.4969,0.81,100.0,0.4865,0.5294,0.45,100.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/evaluations/eval_k3.csv,3.0
,,project_specific,ansible_ansible,vtag_debias,k6,6.0,False,300.0,0.0,0.0,0.5833,0.5724,0.6075,0.5833,0.5724,0.6075,0.5833,0.5917,0.7246,0.5,100.0,0.6486,0.5283,0.84,100.0,0.4767,0.5694,0.41,100.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/evaluations/eval_k6.csv,6.0
,,project_specific,ansible_ansible,vtag_debias,k9,9.0,False,300.0,0.0,0.0,0.57,0.5531,0.5742,0.57,0.5531,0.5742,0.57,0.5938,0.6196,0.57,100.0,0.6506,0.5436,0.81,100.0,0.4151,0.5593,0.33,100.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/evaluations/eval_k9.csv,9.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ft,finetune_fixed,,False,300.0,0.0,0.0,0.59,0.5962,0.6086,0.59,0.5962,0.6086,0.59,0.6432,0.6465,0.64,100.0,0.6776,0.747,0.62,100.0,0.4679,0.4322,0.51,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k1,1.0,False,300.0,0.0,0.0,0.67,0.6308,0.7038,0.67,0.6308,0.7038,0.67,0.6797,0.5577,0.87,100.0,0.8491,0.8036,0.9,100.0,0.3636,0.75,0.24,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k3,3.0,False,300.0,0.0,0.0,0.68,0.646,0.698,0.68,0.646,0.698,0.68,0.6774,0.5676,0.84,100.0,0.8692,0.8158,0.93,100.0,0.3913,0.7105,0.27,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k6,6.0,False,300.0,16.0,0.0533,0.69,0.6853,0.7472,0.69,0.6853,0.7472,0.69,0.6872,0.6142,0.78,100.0,0.8826,0.8319,0.94,100.0,0.4861,0.7955,0.35,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k9,9.0,False,300.0,16.0,0.0533,0.7,0.6991,0.747,0.7,0.6991,0.747,0.7,0.6996,0.6341,0.78,100.0,0.891,0.8468,0.94,100.0,0.5067,0.76,0.38,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k1,1.0,True,300.0,0.0,0.0,0.6833,0.6476,0.7148,0.6833,0.6476,0.7148,0.6833,0.6977,0.5696,0.9,100.0,0.8599,0.8318,0.89,100.0,0.3852,0.7429,0.26,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k3,3.0,True,300.0,0.0,0.0,0.7033,0.6736,0.7352,0.7033,0.6736,0.7352,0.7033,0.7016,0.5878,0.87,100.0,0.8732,0.823,0.93,100.0,0.446,0.7949,0.31,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k6,6.0,True,300.0,6.0,0.02,0.7233,0.7163,0.7526,0.7233,0.7163,0.7526,0.7233,0.708,0.6349,0.8,100.0,0.8732,0.823,0.93,100.0,0.5677,0.8,0.44,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag_debias,k9,9.0,True,300.0,8.0,0.0267,0.73,0.731,0.7496,0.73,0.731,0.7496,0.73,0.7177,0.6881,0.75,100.0,0.8598,0.807,0.92,100.0,0.6154,0.7536,0.52,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ft,finetune_fixed,,False,300.0,0.0,0.0,0.7033,0.699,0.6977,0.7033,0.699,0.6977,0.7033,0.6633,0.6771,0.65,100.0,0.8263,0.7788,0.88,100.0,0.6073,0.6374,0.58,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k1,1.0,True,300.0,0.0,0.0,0.7067,0.6851,0.7216,0.7067,0.6851,0.7216,0.7067,0.7054,0.6028,0.85,100.0,0.8667,0.8273,0.91,100.0,0.4832,0.7347,0.36,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k3,3.0,True,300.0,0.0,0.0,0.7167,0.6992,0.7335,0.7167,0.6992,0.7335,0.7167,0.6957,0.6154,0.8,100.0,0.8624,0.7966,0.94,100.0,0.5395,0.7885,0.41,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k6,6.0,True,300.0,16.0,0.0533,0.72,0.7303,0.7593,0.72,0.7303,0.7593,0.72,0.7122,0.6952,0.73,100.0,0.8679,0.8214,0.92,100.0,0.6108,0.7612,0.51,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k9,9.0,True,300.0,16.0,0.0533,0.7167,0.7265,0.7546,0.7167,0.7265,0.7546,0.7167,0.7087,0.6887,0.73,100.0,0.872,0.8288,0.92,100.0,0.5988,0.7463,0.5,100.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k9.csv,0.0
